job,marital,balance,age_group,is_having_debt,Cluster
blue-collar,married,0,gen_x,0,2
blue-collar,married,0,millennials,1,2
blue-collar,married,23025576,gen_x,2,2
entrepreneur,married,322392,gen_x,1,2
others,single,7364112,millennials,0,1
white-collar,single,1561056,gen_x,1,1
white-collar,single,19530168,gen_x,1,1
others,married,695688,gen_x,1,2
white-collar,married,865368,millennials,1,0
blue-collar,married,3631152,gen_x,1,2
white-collar,married,19699848,gen_x,1,2
blue-collar,married,627816,millennials,1,2
white-collar,single,13353816,millennials,1,0
blue-collar,married,1001112,millennials,1,2
white-collar,married,4292904,millennials,1,0
white-collar,married,3580248,millennials,1,0
others,married,3987480,gen_x,1,2
blue-collar,single,74387712,millennials,1,1
white-collar,married,69229440,gen_x,0,2
blue-collar,single,899304,millennials,2,1
white-collar,single,0,millennials,1,0
others,married,36090936,gen_x,1,2
white-collar,married,6396936,millennials,1,0
white-collar,married,1238664,gen_x,1,2
white-collar,married,7550760,gen_x,1,2
blue-collar,married,4123224,millennials,1,2
blue-collar,single,5209176,millennials,1,1
blue-collar,married,2630040,millennials,1,2
white-collar,single,2935464,gen_x,1,1
white-collar,married,6787200,gen_x,1,2
blue-collar,single,24230304,boomers,1,1
white-collar,married,3715992,gen_x,1,2
white-collar,married,118776,gen_x,1,2
blue-collar,married,9756600,gen_x,1,2
others,single,5056464,millennials,1,1
blue-collar,married,0,millennials,1,2
blue-collar,married,96700632,gen_x,1,2
white-collar,married,2986368,gen_x,2,2
white-collar,married,8772456,gen_x,1,2
blue-collar,single,4360776,millennials,1,1
others,married,950208,gen_x,1,2
blue-collar,married,-6617520,millennials,1,2
others,married,5599440,gen_x,1,2
blue-collar,single,3308760,gen_x,0,1
blue-collar,married,5107368,millennials,1,2
blue-collar,married,-695688,gen_x,1,2
white-collar,married,8195544,millennials,1,0
others,married,475104,gen_x,0,2
others,married,220584,gen_x,0,2
blue-collar,married,16374120,gen_x,0,2
white-collar,married,6413904,millennials,2,0
others,married,3715992,millennials,1,0
blue-collar,married,5497632,gen-z,1,2
entrepreneur,single,-1170792,millennials,1,1
others,married,0,gen_x,1,2
white-collar,single,3478440,gen_x,1,1
blue-collar,married,4717104,gen_x,1,2
white-collar,married,18070920,gen_x,1,2
white-collar,single,576912,millennials,1,0
blue-collar,married,17527944,millennials,0,2
blue-collar,single,24892056,gen_x,1,1
blue-collar,married,-203616,gen_x,1,2
blue-collar,married,6583584,millennials,1,2
entrepreneur,married,4988592,gen_x,1,2
blue-collar,married,31000536,gen_x,0,2
blue-collar,married,10638936,gen_x,1,2
blue-collar,married,424200,gen_x,1,2
white-collar,single,5344920,gen_x,1,1
blue-collar,married,0,millennials,1,2
white-collar,single,1119888,gen_x,1,1
blue-collar,single,-152712,gen_x,2,1
white-collar,married,5921832,gen_x,2,2
entrepreneur,married,1696800,gen_x,1,2
white-collar,married,0,millennials,0,0
white-collar,married,7364112,gen_x,1,2
white-collar,married,54925416,gen_x,1,2
white-collar,married,4666200,gen_x,0,2
blue-collar,single,0,gen-z,1,1
white-collar,married,3512376,millennials,1,0
blue-collar,married,8195544,millennials,1,2
blue-collar,married,38144064,gen_x,1,2
white-collar,married,7262304,gen_x,1,2
blue-collar,married,0,gen_x,2,2
blue-collar,single,0,millennials,1,1
white-collar,single,2375520,millennials,1,0
white-collar,single,5039496,gen_x,1,1
blue-collar,married,4734072,millennials,1,2
entrepreneur,single,15288168,gen_x,1,1
white-collar,single,43658664,gen-z,1,1
blue-collar,married,2426424,millennials,2,2
blue-collar,married,8059800,millennials,1,2
blue-collar,married,1187760,gen_x,1,2
white-collar,single,5395824,millennials,1,0
white-collar,married,4666200,millennials,1,0
white-collar,single,12590256,gen_x,1,1
entrepreneur,married,4004448,gen_x,1,2
others,single,424200,gen-z,1,1
white-collar,single,10180800,millennials,1,0
white-collar,single,-5921832,millennials,1,0
blue-collar,married,3105144,gen_x,2,2
blue-collar,married,0,millennials,1,2
white-collar,single,0,gen_x,2,1
blue-collar,single,0,millennials,1,1
white-collar,married,18291504,gen_x,1,2
entrepreneur,single,2630040,gen_x,0,1
white-collar,married,3223920,millennials,1,0
others,married,5412792,gen_x,1,2
blue-collar,single,-3139080,millennials,1,1
blue-collar,married,797496,gen_x,0,2
blue-collar,single,9671760,millennials,1,1
white-collar,married,322392,millennials,0,0
blue-collar,married,1035048,gen_x,1,2
white-collar,married,-1052016,gen_x,2,2
white-collar,married,4377744,gen_x,0,2
blue-collar,married,1289568,gen_x,1,2
blue-collar,single,0,gen-z,1,1
white-collar,single,5972736,millennials,1,0
white-collar,married,6244224,gen_x,1,2
white-collar,single,5752152,gen_x,1,1
blue-collar,married,22584408,millennials,1,2
white-collar,married,11402496,millennials,1,0
white-collar,married,984144,millennials,1,0
white-collar,single,7584696,gen_x,1,1
others,single,7177464,gen-z,1,1
white-collar,married,0,gen_x,0,2
white-collar,married,322392,millennials,1,0
white-collar,single,220584,gen_x,1,1
blue-collar,single,50904,millennials,1,1
others,single,1391376,gen-z,1,1
blue-collar,single,475104,gen_x,1,1
white-collar,married,13438656,gen_x,1,2
blue-collar,married,6922944,gen_x,1,2
white-collar,married,9010008,gen_x,1,2
others,married,3580248,gen_x,1,2
blue-collar,single,1052016,millennials,1,1
blue-collar,married,4360776,gen_x,1,2
white-collar,married,20938512,gen_x,1,2
white-collar,married,5310984,gen_x,1,2
blue-collar,married,1510152,gen_x,1,2
blue-collar,married,2188872,gen_x,2,2
white-collar,married,0,gen_x,1,2
white-collar,married,5989704,gen_x,1,2
white-collar,married,14439768,gen_x,1,2
blue-collar,single,1628928,gen_x,2,1
blue-collar,single,6753264,millennials,2,1
white-collar,single,3274824,millennials,0,0
white-collar,married,-6074544,gen_x,1,2
blue-collar,married,9145752,millennials,2,2
white-collar,single,0,gen_x,1,1
others,single,0,millennials,0,1
blue-collar,married,8314320,gen_x,1,2
blue-collar,married,0,gen_x,1,2
blue-collar,married,6838104,gen_x,1,2
white-collar,married,2731848,gen_x,1,2
white-collar,single,43404144,millennials,0,0
white-collar,single,1662864,millennials,1,0
white-collar,single,1951320,gen_x,0,1
blue-collar,single,7398048,millennials,1,1
white-collar,married,14100408,gen_x,1,2
white-collar,married,3495408,gen_x,1,2
blue-collar,married,4920720,gen_x,1,2
blue-collar,married,16968,gen_x,0,2
blue-collar,married,967176,gen_x,1,2
blue-collar,single,-7754376,gen-z,1,1
white-collar,single,23534616,gen_x,1,1
white-collar,single,417378864,gen_x,1,1
blue-collar,married,509040,gen_x,1,2
white-collar,single,17341296,gen_x,1,1
white-collar,married,950208,gen_x,2,2
white-collar,single,-33936,gen_x,0,1
blue-collar,single,2053128,millennials,1,1
blue-collar,single,14287056,gen_x,1,1
white-collar,single,11758824,gen_x,1,1
blue-collar,single,-5650344,millennials,1,1
blue-collar,married,26011944,gen_x,1,2
white-collar,married,780528,millennials,1,0
blue-collar,married,305424,gen_x,0,2
white-collar,married,746592,gen_x,1,2
blue-collar,married,-1696800,millennials,1,2
blue-collar,married,8653680,gen_x,1,2
white-collar,married,11623080,gen_x,1,2
white-collar,single,3173016,gen_x,1,1
blue-collar,married,1119888,gen_x,1,2
white-collar,married,9502080,millennials,1,0
blue-collar,married,0,millennials,1,2
others,single,458136,gen_x,0,1
white-collar,single,203616,millennials,1,0
blue-collar,single,576912,gen_x,1,1
entrepreneur,single,18121824,millennials,1,1
blue-collar,married,3580248,millennials,1,2
white-collar,single,6396936,gen_x,1,1
white-collar,married,4462584,gen_x,1,2
blue-collar,married,21430584,gen_x,1,2
blue-collar,married,135744,gen-z,1,2
white-collar,married,2137968,gen_x,2,2
white-collar,married,3902640,gen_x,1,2
white-collar,married,14270088,gen_x,1,2
white-collar,single,5226144,millennials,1,0
white-collar,single,16968,gen_x,1,1
white-collar,single,1459248,millennials,1,0
others,single,2663976,gen-z,1,1
blue-collar,married,373296,millennials,1,2
white-collar,married,780528,millennials,2,0
blue-collar,married,21939624,millennials,0,2
white-collar,single,2070096,gen-z,1,1
blue-collar,married,2222808,gen_x,1,2
blue-collar,single,2426424,gen_x,1,1
white-collar,single,6668424,millennials,0,0
blue-collar,married,1662864,gen_x,1,2
white-collar,married,0,millennials,1,0
blue-collar,married,3800832,gen_x,1,2
blue-collar,married,12844776,millennials,1,2
blue-collar,married,4157160,gen_x,2,2
white-collar,married,143990448,millennials,0,0
white-collar,married,5938800,gen_x,0,2
blue-collar,married,339360,millennials,1,2
blue-collar,married,28285656,gen_x,2,2
white-collar,married,5853960,gen_x,1,2
others,married,169680,millennials,1,0
white-collar,married,14083440,gen_x,2,2
blue-collar,single,492072,gen_x,1,1
others,single,9247560,gen_x,1,1
white-collar,married,148130640,millennials,1,0
white-collar,single,8093736,gen_x,1,1
white-collar,married,67872,gen-z,1,0
blue-collar,married,20446440,gen_x,1,2
white-collar,single,0,millennials,2,0
white-collar,single,4462584,millennials,1,0
white-collar,married,16968,millennials,0,0
blue-collar,married,4801944,millennials,1,2
blue-collar,married,3495408,gen_x,1,2
blue-collar,married,288456,gen_x,1,2
white-collar,married,2392488,gen_x,2,2
white-collar,single,271488,gen-z,1,1
blue-collar,married,3495408,gen_x,1,2
white-collar,married,118776,gen_x,0,2
white-collar,married,0,gen_x,0,2
others,married,0,gen_x,0,2
blue-collar,single,32697336,gen_x,1,1
white-collar,married,4818912,millennials,1,0
blue-collar,married,28166880,gen_x,1,2
blue-collar,single,6889008,millennials,1,1
blue-collar,married,3902640,gen_x,1,2
white-collar,single,-424200,millennials,1,0
white-collar,married,3088176,gen_x,1,2
entrepreneur,married,19835592,millennials,1,0
white-collar,single,1136856,millennials,1,0
white-collar,married,1306536,millennials,0,0
others,married,0,gen_x,1,2
blue-collar,single,933240,gen_x,2,1
white-collar,married,1221696,millennials,1,0
white-collar,single,2765784,gen_x,1,1
white-collar,single,2562168,millennials,1,0
white-collar,single,1917384,millennials,1,0
blue-collar,married,0,millennials,1,2
white-collar,single,152712,millennials,1,0
white-collar,married,6363000,gen_x,1,2
blue-collar,married,19377456,millennials,1,2
blue-collar,married,35666736,gen_x,1,2
white-collar,single,73386600,millennials,1,0
blue-collar,married,3682056,millennials,1,2
white-collar,married,2222808,gen_x,1,2
white-collar,married,28506240,gen_x,1,2
blue-collar,married,0,millennials,1,2
blue-collar,married,780528,millennials,1,2
blue-collar,married,5429760,millennials,1,2
white-collar,married,3105144,gen_x,1,2
blue-collar,married,661752,gen_x,0,2
white-collar,single,9502080,millennials,1,0
white-collar,single,7957992,gen_x,0,1
white-collar,married,8993040,millennials,1,0
blue-collar,married,1035048,gen_x,1,2
white-collar,single,4106256,millennials,1,0
blue-collar,married,2358552,millennials,1,2
white-collar,single,0,gen-z,1,1
white-collar,married,6227256,millennials,1,0
white-collar,single,3868704,gen_x,1,1
white-collar,single,767768064,millennials,1,0
white-collar,married,-1425312,gen_x,1,2
blue-collar,single,5260080,millennials,1,1
blue-collar,married,2239776,gen_x,1,2
white-collar,married,13523496,gen_x,1,2
blue-collar,married,1204728,millennials,0,2
white-collar,single,33936,gen_x,1,1
white-collar,married,3919608,millennials,2,0
blue-collar,married,4581360,millennials,2,2
blue-collar,married,4649232,gen_x,2,2
white-collar,single,-1849512,millennials,2,0
white-collar,married,16968,millennials,1,0
blue-collar,single,-1018080,millennials,0,1
blue-collar,married,1510152,millennials,1,2
blue-collar,single,-186648,gen_x,0,1
blue-collar,married,0,millennials,1,2
blue-collar,married,-8636712,gen_x,1,2
others,married,6922944,millennials,1,0
blue-collar,single,984144,millennials,1,1
others,single,27827520,gen_x,1,1
white-collar,single,339360,millennials,1,0
blue-collar,married,1204728,gen_x,1,2
blue-collar,married,882336,gen_x,1,2
white-collar,married,4954656,gen_x,1,2
blue-collar,single,7194432,gen_x,1,1
blue-collar,single,1849512,millennials,1,1
blue-collar,married,17714592,gen_x,1,2
blue-collar,married,16679544,millennials,1,2
white-collar,married,14745192,millennials,0,0
blue-collar,married,11334624,millennials,1,2
white-collar,married,16357152,gen_x,1,2
white-collar,single,5107368,millennials,1,0
white-collar,single,2375520,millennials,1,0
white-collar,single,31848936,millennials,1,0
blue-collar,married,19122936,gen_x,1,2
white-collar,married,14779128,gen_x,1,2
white-collar,married,13014456,gen_x,2,2
blue-collar,married,0,gen_x,0,2
blue-collar,single,3546312,gen-z,1,1
white-collar,single,0,gen_x,0,1
blue-collar,single,1866480,gen_x,2,1
white-collar,single,-1289568,gen_x,2,1
white-collar,married,3020304,gen_x,1,2
blue-collar,married,-1119888,millennials,1,2
white-collar,married,0,millennials,1,0
blue-collar,married,16968,gen-z,1,2
blue-collar,married,0,millennials,1,2
others,married,90693960,gen_x,0,2
blue-collar,single,-3546312,gen-z,1,1
white-collar,single,0,millennials,1,0
blue-collar,single,712656,millennials,1,1
blue-collar,single,695688,gen_x,1,1
blue-collar,married,-1679832,gen_x,1,2
white-collar,single,288456,millennials,1,0
white-collar,married,4683168,gen_x,2,2
white-collar,single,-2884560,millennials,0,0
white-collar,single,3902640,millennials,2,0
blue-collar,married,152712,gen-z,1,2
blue-collar,married,16051728,gen_x,1,2
blue-collar,married,22007496,gen_x,1,2
others,single,-5616408,gen_x,1,1
blue-collar,single,746592,gen_x,1,1
others,married,254520,gen_x,0,2
white-collar,single,12081216,gen-z,1,1
others,married,92221080,gen_x,1,2
white-collar,married,8602776,millennials,1,0
others,single,6566616,gen_x,1,1
blue-collar,married,0,gen_x,2,2
white-collar,single,29117088,gen_x,1,1
entrepreneur,married,2833656,gen_x,2,2
white-collar,married,678720,gen_x,1,2
blue-collar,married,2511264,gen_x,1,2
white-collar,married,288456,millennials,2,0
blue-collar,single,17154648,millennials,1,1
white-collar,single,25910136,gen_x,1,1
white-collar,married,12624192,gen_x,0,2
white-collar,married,8212512,gen_x,1,2
white-collar,single,0,gen-z,1,1
others,married,2307648,gen_x,1,2
blue-collar,married,22652280,gen_x,1,2
white-collar,married,8772456,millennials,1,0
white-collar,married,7788312,gen_x,1,2
white-collar,single,9315432,gen_x,1,1
white-collar,single,1408344,gen-z,2,1
blue-collar,married,3614184,gen_x,0,2
blue-collar,married,3444504,millennials,1,2
blue-collar,single,8789424,gen_x,1,1
white-collar,single,65784936,millennials,1,0
white-collar,married,20972448,gen_x,1,2
blue-collar,single,12827808,gen_x,1,1
blue-collar,married,2663976,gen_x,1,2
blue-collar,married,-1119888,gen_x,1,2
blue-collar,married,4157160,millennials,1,2
blue-collar,married,-2443392,millennials,1,2
blue-collar,married,1204728,gen_x,1,2
blue-collar,single,8568840,gen_x,1,1
white-collar,married,4225032,gen_x,1,2
white-collar,single,0,millennials,1,0
others,single,186648,millennials,1,1
white-collar,married,10842552,millennials,1,0
blue-collar,single,2104032,gen_x,1,1
blue-collar,married,1391376,gen_x,1,2
white-collar,married,1815576,millennials,1,0
blue-collar,married,8025864,gen_x,1,2
blue-collar,single,6312096,gen_x,2,1
white-collar,married,780528,gen-z,1,0
others,single,576912,gen-z,1,1
white-collar,married,15865080,gen_x,1,2
blue-collar,married,-169680,millennials,1,2
white-collar,married,-1798608,millennials,1,0
blue-collar,single,7991928,millennials,1,1
white-collar,single,13201104,gen_x,1,1
blue-collar,single,2884560,millennials,1,1
white-collar,married,5344920,gen_x,1,2
blue-collar,married,53703720,gen_x,0,2
white-collar,single,2222808,millennials,1,0
entrepreneur,married,3461472,millennials,1,0
white-collar,married,1408344,gen_x,1,2
blue-collar,single,0,gen_x,2,1
blue-collar,married,92153208,gen_x,2,2
white-collar,married,29846712,millennials,1,0
others,married,-2121000,gen_x,1,2
blue-collar,married,0,millennials,0,2
blue-collar,single,86367120,gen-z,1,1
white-collar,married,9722664,millennials,1,0
blue-collar,married,27182736,gen_x,1,2
blue-collar,single,-2324616,gen_x,2,1
white-collar,married,0,gen_x,0,2
blue-collar,married,3274824,gen_x,0,2
others,married,3308760,boomers,2,2
entrepreneur,married,4886784,gen_x,0,2
white-collar,married,322392,gen_x,1,2
blue-collar,married,424200,gen_x,1,2
blue-collar,married,3665088,gen_x,1,2
blue-collar,single,3223920,millennials,2,1
white-collar,single,1679832,gen_x,1,1
blue-collar,single,38992464,gen_x,1,1
white-collar,married,288456,gen_x,1,2
white-collar,married,0,millennials,1,0
blue-collar,married,0,millennials,1,2
blue-collar,married,14253120,gen_x,1,2
blue-collar,married,6074544,millennials,1,2
white-collar,single,0,gen-z,1,1
blue-collar,married,-5514600,millennials,2,2
white-collar,single,-254520,millennials,1,0
white-collar,married,9858408,millennials,1,0
white-collar,single,69059760,gen_x,1,1
others,married,1255632,gen_x,1,2
blue-collar,single,2392488,gen_x,1,1
blue-collar,single,1510152,gen-z,0,1
blue-collar,married,0,gen_x,1,2
blue-collar,married,7635600,gen-z,0,2
white-collar,married,5260080,gen_x,0,2
white-collar,married,0,millennials,1,0
blue-collar,married,6515712,millennials,1,2
blue-collar,married,6702360,millennials,1,2
blue-collar,single,-2002224,millennials,1,1
blue-collar,married,84840,gen_x,2,2
blue-collar,married,848400,gen_x,2,2
blue-collar,married,4835880,millennials,2,2
white-collar,married,254520,gen_x,0,2
blue-collar,married,11080104,gen_x,2,2
white-collar,married,15576624,gen_x,1,2
blue-collar,married,4123224,millennials,2,2
white-collar,single,6872040,gen-z,1,1
white-collar,single,22533504,gen_x,1,1
blue-collar,married,4326840,gen_x,1,2
blue-collar,married,57640296,gen_x,1,2
white-collar,married,35734608,gen_x,1,2
white-collar,married,48816936,millennials,1,0
blue-collar,single,1018080,millennials,2,1
blue-collar,married,37770768,millennials,1,2
blue-collar,married,48867840,millennials,1,2
white-collar,single,-84840,millennials,1,0
white-collar,married,2494296,gen_x,0,2
white-collar,single,118776,millennials,2,0
white-collar,married,1849512,millennials,1,0
others,married,-2019192,gen_x,1,2
white-collar,married,8212512,gen-z,1,0
white-collar,single,31424736,millennials,1,0
others,married,9043944,millennials,1,0
white-collar,single,356328,gen_x,1,1
white-collar,single,41300112,millennials,1,0
white-collar,married,1527120,millennials,2,0
white-collar,single,72046128,gen_x,1,1
white-collar,single,6702360,millennials,1,0
blue-collar,married,254520,gen_x,1,2
blue-collar,married,1442280,millennials,0,2
entrepreneur,married,-3122112,gen_x,2,2
blue-collar,married,11198880,gen_x,0,2
blue-collar,single,-3105144,gen_x,1,1
others,single,19411392,gen-z,1,1
blue-collar,single,16968,gen_x,1,1
white-collar,married,1170792,millennials,2,0
white-collar,single,3732960,gen_x,1,1
blue-collar,married,5633376,millennials,1,2
blue-collar,single,4072320,millennials,1,1
white-collar,single,0,gen_x,1,1
others,married,0,gen_x,1,2
entrepreneur,married,15237264,millennials,1,0
white-collar,married,2087064,millennials,2,0
others,single,4275936,millennials,1,1
white-collar,married,1102920,gen_x,1,2
white-collar,married,-6210288,gen_x,2,2
others,single,3546312,gen-z,1,1
white-collar,single,3749928,millennials,1,0
white-collar,single,67872,gen_x,1,1
white-collar,married,1764672,millennials,1,0
white-collar,single,5294016,gen-z,1,1
blue-collar,married,-5921832,millennials,1,2
blue-collar,married,67872,gen_x,0,2
blue-collar,married,-5463696,millennials,2,2
white-collar,married,-2545200,gen-z,1,0
white-collar,married,22889832,millennials,1,0
white-collar,married,4768008,millennials,1,0
blue-collar,married,21362712,gen_x,1,2
white-collar,single,1713768,millennials,1,0
blue-collar,married,14388864,millennials,1,2
entrepreneur,married,1510152,gen_x,1,2
blue-collar,married,2375520,gen_x,1,2
white-collar,single,2511264,millennials,1,0
white-collar,single,3393600,millennials,1,0
white-collar,married,780528,gen_x,1,2
blue-collar,single,3410568,gen_x,1,1
blue-collar,married,8993040,gen_x,1,2
blue-collar,single,0,millennials,1,1
white-collar,married,16968,gen_x,1,2
blue-collar,married,729624,gen-z,1,2
white-collar,single,-2935464,millennials,1,0
white-collar,married,6600552,millennials,1,0
blue-collar,married,3648120,millennials,2,2
white-collar,married,-2222808,millennials,1,0
white-collar,single,13285944,millennials,1,0
white-collar,married,0,gen_x,1,2
blue-collar,married,1357440,gen_x,1,2
blue-collar,single,1781640,millennials,1,1
white-collar,married,3088176,gen-z,2,0
white-collar,married,1391376,gen_x,1,2
white-collar,married,0,gen_x,1,2
blue-collar,married,8653680,gen_x,1,2
white-collar,single,4106256,millennials,1,0
white-collar,married,4140192,gen_x,2,2
white-collar,married,1561056,gen_x,1,2
blue-collar,married,0,millennials,1,2
others,single,16085664,gen-z,1,1
blue-collar,married,390264,millennials,1,2
white-collar,married,12047280,millennials,1,0
blue-collar,married,20446440,millennials,1,2
white-collar,married,6244224,millennials,2,0
entrepreneur,married,27674808,gen_x,1,2
white-collar,married,101808,millennials,1,0
blue-collar,married,441168,gen_x,1,2
white-collar,single,-814464,gen-z,1,1
white-collar,married,36345456,gen_x,1,2
blue-collar,single,1306536,gen-z,2,1
blue-collar,married,6804168,gen_x,1,2
white-collar,married,356328,millennials,0,0
blue-collar,single,0,gen_x,1,1
white-collar,single,-8433096,gen_x,1,1
blue-collar,single,6261192,millennials,0,1
white-collar,single,1323504,gen_x,1,1
white-collar,single,3834768,millennials,2,0
white-collar,married,8534904,gen_x,1,2
blue-collar,married,6312096,millennials,1,2
white-collar,married,0,millennials,2,0
blue-collar,single,0,millennials,1,1
entrepreneur,married,2121000,millennials,1,0
